title,authors,publication_date,description,cite_by
Isolation and examination of copper removing bacteria from activated sludge culture,"K Fukushi, Sandhya Babel, H Xuan",2002/12,-,-
Challenges and opportunities to approach zero waste for municipal solid waste management in Ho Chi Minh City,"Nguyen Thi Phuong Loan, Alice Sharp, Sandhya Babel",-,-,-
Situation of Plastics and Micro-plastics Pollution in Thailand,Sandhya Babel,-,-,-
"Guidelines for Technology Selection for Sustainable Solid Waste Management in Ho Chi Minh City, Vietnam","Nguyen Thi Phuong Loan, Sandhya Babel, Alice Sharp",-,-,-
Preliminary comparison of prominent microbial taxa relative to bioprocess performance,"EMMANUEL P LEAÑO, ALFREDO J ANCENO, SANDHYA BABEL",-,-,-
Preliminary studies on impacts to bioprocess performance and underlying microflora during bioH2 production,"EMMANUEL P LEAÑO, ALFREDO J ANCENO, SANDHYA BABEL",-,-,-
Evaluating the effectiveness of the banana (Musa spp. ABB cv. Kluai Namwa) peel for the removal of fluoride from water,"Manisha Poudyal, Sandhya Babel",-,-,-
Supplementary data Bio-electrochemical reactors using AMI-7001S and CMI-7000S membranes as separators for silver recovery and power generation,"NAD Ho, S Babel, F Kurisu",-,-,-
Civil Engineers Construction Materials 162 May 2009 Issue CM2,"UG Yasantha Abeysundara, Sandhya Babel",-,-,-
Assessment of Pb accumulation in roots of fast-growing trees inoculated with endophytic bacteria: Hydroponic culture,"J Yongpisanphop, S Babel",-,-,-
"Estimation of Greenhouse Gas Emission from Landfill in Luangprabang, Lao PDR","Xaysackda Vilaysouk, Sandhya Babel",-,-,-
"Comparison of Potential Greenhouse Gas Emission from Municipal Solid Waste Disposal Site in Savannakhet and Champasak, Lao PDR","Xaysackda Vilaysouk, Sandhya Babel",-,-,-
Risk factors for ischaemic and intracerebral haemorrhagic stroke in 22 countries (the INTERSTROKE study): a case-control study,"Martin J O'donnell, Denis Xavier, Lisheng Liu, Hongye Zhang, Siu Lim Chin, Purnima Rao-Melacini, Sumathy Rangarajan, Shofiqul Islam, Prem Pais, Matthew J McQueen, Charles Mondo, Albertino Damasceno, Patricio Lopez-Jaramillo, Graeme J Hankey, Antonio L Dans, Khalid Yusoff, Thomas Truelsen, Hans-Christoph Diener, Ralph L Sacco, Danuta Ryglewicz, Anna Czlonkowska, Christian Weimar, Xingyu Wang, Salim Yusuf",2010/7/10,-,3242
Aspirin and extended-release dipyridamole versus clopidogrel for recurrent stroke,,,,
Telmisartan to prevent recurrent stroke and cardiovascular events,,,,
"Chinese medicine neuroaid efficacy on stroke recovery: a double-blind, placebo-controlled, randomized study",,,,
Practice patterns and outcomes after stroke across countries at different economic levels (INTERSTROKE): an international observational study,,,,
Early outcome after intravenous thrombolysis in patients with acute ischemic stroke,,,,
CHInese Medicine NeuroAiD Efficacy on Stroke Recovery-Extension Study (CHIMES-E): a multicenter study of long-term efficacy,,,,
Causes of ischemic stroke in young adults in Thailand: a pilot study,,,,
Pontine warning syndrome: case series and review of literature,,,,
Effects of MLC601 on early vascular events in patients after stroke: the CHIMES study,,,,
"Clinical course, prognostic factors, and long-term outcomes of malignant middle cerebral artery infarction patients in the modern era",,,,
Wernicke's encephalopathy and central pontine myelinolysis in hyperemesis gravidarum,,,,
Intracerebral hemorrhage following intravenous thrombolysis in Thai patients with acute ischemic stroke,,,,
Outcomes of intravenous thrombolytic therapy for acute ischemic stroke with an integrated acute stroke referral network: initial experience of a community-based hospital in a …,,,,
Outcomes of Thai patients with acute ischemic stroke after intravenous thrombolysis,,,,
Implementation of Telemedicine and Stroke Network in thrombolytic administration: comparison between walk-in and referred patients,,,,
Intravenous thrombolysis in Thai patients with acute ischemic stroke: role of aging,,,,
Risk for major bleeding in patients receiving ticagrelor compared with aspirin after transient ischemic attack or acute ischemic stroke in the SOCRATES study (Acute stroke or …,,,,
A novel ECGF1 mutation in a Thai patient with mitochondrial neurogastrointestinal encephalomyopathy (MNGIE),,,,
Prediction of symptomatic intracranial hemorrhage after intravenous thrombolysis in acute ischemic stroke: the symptomatic intracranial hemorrhage score,,,,
Predicting mortality rate with ICH score in Thai intracerebral hemorrhage patients,,,,
Prognostic factors and treatment effect in the CHIMES study,,,,
Poor recognition of prompted treatment seeking even with good knowledge of stroke warning signs contribute to delayed arrival of acute ischemic stroke patients in Thailand,,,,
Predicting difficult intubation in emergency department by intubation assessment score,,,,
Fat embolism syndrome: a case report and review literature,,,,
Targeted temperature management in neurological intensive care unit,,,,
External validation of the SEDAN score: The real world practice of a single center,,,,
Baseline characteristics and treatment response of patients from the Philippines in the CHIMES study,,,,
"XANAP: A real‐world, prospective, observational study of patients treated with rivaroxaban for stroke prevention in atrial fibrillation in Asia",,,,
The early outcomes of nurse case management in patients with acute ischemic stroke treated with intravenous recombinant tissue plasminogen activator: a prospective randomized …,,,,
Prognostic factors and pattern of long-term recovery with MLC601 (NeuroAiD™) in the Chinese medicine NeuroAiD efficacy on stroke recovery-extension study,,,,
The value of patient selection in demonstrating treatment effect in stroke recovery trials: lessons from the CHIMES study of MLC601 (NeuroAiD),,,,
Effect of combined treatment with MLC601 (NeuroAiDTM) and rehabilitation on post-stroke recovery: the CHIMES and CHIMES-E studies,,,,
Automated embolic signal detection using deep convolutional neural network,,,,
The outcomes of targeted temperature management after cardiac arrest at emergency department: a real-world experience in a developing country,,,,
Clinical predictive score of intracranial hemorrhage in mild traumatic brain injury,,,,
A randomized controlled study of intravenous fluid in acute ischemic stroke,,,,
"Whole blood viscosity modeling using power law, Casson, and Carreau Yasuda models integrated with image scanning U-tube viscometer technique",,,,
Correlation between decreased parasympathetic activity and reduced cerebrovascular reactivity in patients with lacunar infarct,,,,
Automated embolic signal detection using adaptive gain control and classification using ANFIS,,,,
Atrial electrophysiological property analysis by sample entropy and atrial fibrillatory rate with cardiac autonomic derangements in acute ischemic stroke with atrial fibrillation.,,,,
Processing time improvement for automatic embolic signal detection using fuzzy c-mean,,,,
Initial experience of therapeutic hypothermia after cardiac arrest with surface cooling method in Thammasat Chalerm Prakiat Hospital: Two cases report,,,,
Feasibility and safety of remote radiology interpretation with telephone consultation for acute stroke in Thailand,,,,
"Not only the Sugar, Early infarct sign, hyperDense middle cerebral artery, Age, Neurologic deficit score but also atrial fibrillation is predictive for symptomatic intracranial …",,,,
Should the heart rate including the heart rate variability be important prognostigators in cardiac arrest?,,,,
Methods and clinical applications of targeted temperature management.,,,,
Blood pressure control among stroke patients in Thailand—the i-STROKE study,,,,
Simulation program of specifying ischemic stroke area from CT perfusion images based on digital image processing techniques,,,,
Automated cerebral emboli detection using adaptive threshold and adaptive neuro-fuzzy inference system,,,,
Prognostic parameters for symptomatic intracranial hemorrhage after intravenous thrombolysis in acute ischemic stroke in an Asian Population,,,,
Comparison between the original and shortened versions of the National Institutes of Health Stroke Scale in ischemic stroke patients of intermediate severity,,,,
"Risk factors of stroke in Pathumthani Province, Thailand",,,,
Therapeutic hypothermia with extracorporeal membrane oxygenation (ECMO) and surface cooling in post-cardiac arrest patients: 4 case reports,,,,
Abstract wmp60: Automatic embolic signal detection using adaptive wavelet packet transform and adaptive neuro-fuzzy inference system,,,,
Increased sample entropy in atrial fibrillation relates to cardiac autonomic dysfunction determined by heart rate variability: a preliminary study,,,,
Simulation program of Finding Ischemic Stroke Area with CT-SCAN image Based on Digital Image Processing Techniques,,,,
Feasibility and safety of perilla seed oil as an additional antioxidative therapy in patients with mild to moderate dementia,,,,
Clinical factors predictive for intracranial hemorrhage in mild head injury,,,,
Outcomes of patients with large middle cerebral artery infarct treated with and without intravenous thrombolysis,,,,
An unusual presentation of subdural empyema caused by Porphyromonas gingivalis,,,,
Stroke outcomes in Thai elderly patients treated with and without intravenous thrombolysis,,,,
Implementation of multiphase computed tomography angiography in management of patients with acute ischemic stroke in clinical practice,,,,
Asian targeted temperature management task panel report,,,,
Differentiation of serum sLOX‐1 and NO levels in acute ischemic stroke patients with internal carotid artery stenosis and those without internal carotid artery stenosis,,,,
Successful recanalization with multimodality endovascular interventional therapy in acute ischemic stroke,,,,
Suppression of autonomic drive determined by nonlinear HRV analysis in therapeutic hypothermia after cardiac arrest,,,,
Post rtPA CT brain may not be mandatory in all stroke patients when resources are limited,,,,
Automatic detection of ischemic stroke area from CT perfusion maps Cerebral Blood Volume and Cerebral Blood Flow,,,,
Stroke-analysis program for searching infarct/penumbra area from CT-scan images via digital image processing technique,,,,
Basilar artery thrombosis,,,,
Ticagrelor added to aspirin in acute ischemic stroke or transient ischemic attack in prevention of disabling stroke: a randomized clinical trial,,,,
Effectiveness of press needle treatment and electroacupuncture in patients with postherpetic neuralgia: A matched propensity score analysis,,,,
Accuracy of laboratory tests collected at referring hospitals versus tertiary care hospitals for acute stroke patients,,,,
General Principles of Somatosensory Evoked Potentials,,,,
"Efficacy of high-dose and low-dose simvastatin on vascular oxidative stress and neurological outcomes in patient with acute ischemic stroke: A randomized, double-blind …",,,,
Neurovascular Oxidative Stress and Autonomic Modulation Contributing to QT Interval Variations in Acute Large Artery Ischemic Stroke,,,,
Aspirin nonresponders in patients with ischaemic stroke,,,,
Neurovascular Oxidative Stress Through Nitric Oxide and soluble Lectin-like Oxidized Low-Density Lipoprotein Receptor - 1 (sLOX-1) in Acute Stroke,,,,
Clinical benefits of therapeutic hypothermia after in-hospital cardiac arrest with surface cooling method in Phyathai 2 Hospital: Two cases report,,,,
Ischemic Stroke Analysis of CT perfusion maps Cerebral Blood Volume and Cerebral Blood Flow Based on Digital Image Processing Techniques,,,,
Prediction of ischemic stroke area from CT perfusion images of CBV and CBF based on digital image processing techniques,,,,
Specifying Ischemic Stroke Area from CT-SCAN images of CBV CBF and MTT Based on Digital Image Processing Techniques,,,,
Finding a mismatch for brain blood clot area on ct-scan images via digital image processing technique,,,,
Outcomes of Perilla Seed Oil as an Additional Neuroprotective Therapy in Patients with Mild to Moderate Dementia: A Randomized Control Trial,,,,
Microembolic signal detection by transcranial Doppler: Old method with a new indication,,,,
Targeted Temperature Management in Traumatic Brain Injury,,,,
Targeting Stroke Patients with a Higher Potential of Long-Term Benefit from Treatment: Insights from the Chimes-E Study,,,,
Intracranial leiomyosarcoma in an HIV-infected adult,,,,
Brain-Heart Axis Modulation through Vascular Oxidative Stress during Mild Hypothermia induces Decreased Global Ischemia in Therapeutic Hypothermia after Cardiac Arrest,,,,
Primary muscle diseases in Thammasat University Hospital: muscle biopsy study of 12 cases,,,,
Accuracy of Laboratory Tests Drawn by Pull-push Method from Central Venous Catheterization After Routine Flushing with 10 ml Normal Saline.,,,,
Medical Management in Moyamoya Disease,,,,
"Letter to the Editor regarding"" Cardiac-Neurovascular Adverse Effects Responsible to Contrast Transcranial Doppler: A case report""",,,,
Infections in out-of-hospital and in-hospital post-cardiac arrest patients: comment,,,,
The Effects of a Family Participation Program in Cognitive Rehabilitation on the Functional Outcomes among Acute Stroke Patients: Preliminary Analysis,,,,
Hypothermia treatment reduced cyclin-dependent kinase 5-mediated inflammation in ischemic stroke and improved outcomes in ischemic stroke patients,,,,
The New CHEST Guidelines on Antithrombotic Therapy for Atrial Fibrillation Should Consider Recent Data on Rivaroxaban,,,,
Influencing Factors in Prioritized Model of Patient Treatment with Mobile Computed Tomography Scan for Medium-Sized Hospitals in Thailand,,,,
Erratum to “Fat Embolism Syndrome: A Case Report and Review Literature”,,,,
The RR interval variation as the good outcomes predictor in survivors after cardiac arrest with targeted temperature management,,,,
Efficacy of high-dose and low-dose simvastatin on vascular oxidative stress and neurological outcomes in patient with acute ischemic stroke,,,,
WJM,,,,
Targeted Temperature Management in Critical care Neurology,,,,
Comparison of Long-Term Spontaneous Functional Recovery and Response to Treatment with MLC601 Between Cortical and Non-Cortical Strokes-The Chimes-E Study,,,,
Synergistic Effect of Combining MLC601 and Rehabilitation on Post-Stroke Recovery: The Chimes-E Study,,,,
Front &amp; Back Matter,,,,
Diagnostic Value of Pleural Fluid Adenosine Deaminase in Tuberculous Pleuritis at Thammasat University Hospital,,,,
Differentiation of Serum sLOX-1 and NO Levels in Acute Ischemic Stroke Patients with Internal Carotid Artery Stenosis and Those Without Internal Carotid Artery Stenosis: P135,,,,
Role of conventional MRI rain for basilar artery plaque detection in solitary pontine infarct.,,,,
Abstract WP215: Role of Conventional Mri Brain for Basilar Artery Plaque Detection in Solitary Pontine Infarct,,,,
CHInese Medicine NeuroAiD Efficacy On Stroke Recovery-Extension Study (CHIMES-E): A Multicenter Study of Long-Term Efficacy: O73,,,,
Chinese medicine NeuroAiD efficacy on stroke recovery-extension (CHIMES-E): A multicenter study of long-term efficacy,,,,
"Contents Vol. 39, 2015",,,,
Front &amp; Back Matter,,,,
Evaluation of basilar artery in pontine infarction with conventional MRI,,,,
DIAGNOSTIC VALUE OF PLEURAL FLUID ADENOSINE DEAMINASE IN TUBERCULOUS PLEURITIS AT THAMMASAT UNIVERSITY HOSPITAL: PQ-011,,,,
Atrial Fibrillation and the Sedan Score are Predictive for Symptomatic ICH in Thai Population: PA-28,,,,
Reply to correspondence by Alcarez R and Rieta JJ,,,,
OXIDATIVE STRESS IN ACUTE ISCHEMIC STROKE,,,,
การ ประเมิน สมรรถนะ ระบบ หลักประกัน สุขภาพ ใน การ ให้ บริการ ผู้ ป่วย โรคสมอง ขาด เลือด จาก หลอดเลือด สมอง ตีบ หรือ อุด ตัน: กรณี ศึกษา โรง พยาบาล ธรรมศาสตร์ เฉลิมพระเกียรติ,,,,
Comparison of aspirin response measured by urinary 11-dehydrothromboxane B2 and VerifyNow Aspirin assay in patients with ischemic stroke,,,,
Stroke prognosis by applying double thresholds on CT-perfusion-brain images,,,,
Circulating Nitric Oxide and Autonomic Impairment in Therapeutic Hypothermia after Cardiac Arrest,,,,
Stroke outcomes in elderly patients (&gt; 70 years old) treated with and without intravenous thrombolysis: P2137,,,,
Post rtPA CT brain may not routinely be performed in all stroke patients in limited-resource situation,,,,
Transthoracic Echocardiography in Thai Patients with Acute Ischemic Stroke,,,,
INTRAVENOUS THROMBOLYSIS IN THAI PATIENTS WITH ACUTE ISCHEMIC STROKE: ROLE OF AGING: P2068,,,,
DETECTION OF BASILAR ARTERY PLAQUES BY CONVENTIONAL MRI IN PARAMEDIAN PONTINE INFARCTION: 86,,,,
8th Asian Congress for Microcirculation,,,,
Predictors of symptomatic intracerebral hemorrhage after intravenous thrombolysis in patients with acute ischemic stroke: PO10049,,,,
FP01-MO-01 Increase in portion of patient with TIA and improvement of time lapse of CT scan through stroke education,,,,
FP08-MO-05 Risk factors of significant carotid stenosis in Thai ischemic stroke/TIA patients,,,,
PO01-MO-02 Causes of ischemic stroke in young adults in Thailand,,,,
INITIAL EXPERIENCE OF COMMUNITY-BASED INTRAVENOUS THROMBOLYTIC THERAPY OF ACUTE ISCHAEMIC STROKE WITH INTEGRATED ACUTE STROKE NETWORK IN THAILAND: 18 Acute stroke …,,,,
FP01-MO-05 Feasibility and safety of remote radiology interpretation with telephone consultation for acute stroke in Thailand,,,,
FP18-TU-05 Outcomes of intravenous thrombolytic therapy for acute ischemic stroke with integrated acute stroke referral network at no prior experience hospital: a prospective study,,,,
Outcome after stroke in patients with a positive drug screen: PO02–546,,,,
Role of muscle biopsy and molecular genetic analysis in Thammasat University Hospital Thailand,,,,
Pontine Warning Syndrome: Case series and review of literature,,,,
Angioplasty or medical treatment for symptomatic intracranial artery stenosis: A decision analysis,,,,
Pontine Warning Syndrome: 27 Case Report and Review of Literature,,,,
American Society of Neuroimaging 2007 Annual Meeting Abstracts,,,,
Cerebellar infarction and cerebellar hemorrhage,,,,
Atrial myxoma,,,,
American Society of Neuroimaging 2007 Annual Meeting,,,,
Declaration of Competing Interest,,,,
首页» 文章» 文章详细信息,,,,
Olivopontocerebellar Atrophy,,,,
Novel Biosignal Parameters Relate To The Brain-Heart AxisConcept In Ischemic Stroke Patients With Atrial Fibrillation: A Preliminary Study,,,,
Neurovascular Oxidative Stress Markers of Nitric Oxide and soluble Lectin-like Oxidized LDL Receptor-1 (sLOX-1) in Acute Stroke.,,,,
JournalofStrokeandCerebrovascularDiseases,,,,
FP18-TU-05,,,,
"Home&gt; Archives&gt; Vol 95, No",,,,
Neuronal-Glia Interaction and Neurovascular Coupling during Mild Hypothermia after Cardiac Arrest,,,,
JournalofStrokeandCerebrovascularDiseases,,,,
Atrial myxoma,,,,
Potential Usage of a Transesophageal Echocardiogram in the Early Phase of Acute Ischemic Stroke,,,,
Coupled fixed point of generalized contractive mappings on partially ordered G-metric spaces,,,,
Common fixed point theorems for a pair of weakly compatible mappings in fuzzy metric spaces,,,,
The existence of optimal approximate solution theorems for generalized α-proximal contraction non-self mappings and applications,,,,
Generalized common fixed point theorems in complex valued metric spaces and applications,,,,
Common fixed point theorems for c-distance in ordered cone metric spaces,,,,
Coupled best proximity point theorem in metric spaces,,,,
"Comment on ‘Fixed point theorems for contraction mappings in modular metric spaces, Fixed Point Theory and Applications, doi: 10.1186/1687-1812-2011-93, 20 pages’",,,,
Fixed point theorems for contraction mappings in modular metric spaces,,,,
Common fixed point theorem for cyclic generalized multi-valued contraction mappings,,,,
Coupled fixed point theorems for weak contraction mappings under-invariant set,,,,
Coupled coincidence point theorems for contractions without commutative condition in intuitionistic fuzzy normed spaces,,,,
Nonlinear integral equations with new admissibility types in b-metric spaces,,,,
"Weak condition for generalized multi-valued (f, α, β)-weak contraction mappings",,,,
Coincidence and fixed points for contractions and cyclical contractions in partial metric spaces,,,,
Coupled fixed point theorems for nonlinear contractions without mixed monotone property,,,,
Common fixed points for R-weakly commuting in fuzzy metric spaces,,,,
Common fixed point theorems for weakly compatible mappings in fuzzy metric spaces using (JCLR) property,,,,
On new fixed point results for-contractive multi-valued mappings on α-complete metric spaces and their consequences,,,,
Gregus type fixed points for a tangential multi-valued mappings satisfying contractive conditions of integral type,,,,
Gregus-type common fixed point theorems for tangential multivalued mappings of integral type in metric spaces,,,,
Urysohn integral equations approach by common fixed points in complex-valued metric spaces,,,,
On generalized hyperstability of a general linear equation,,,,
On a new type of stability of a radical quadratic functional equation using Brzdȩk’s fixed point theorem,,,,
Fixed point result and applications on ab-metric space endowed with an arbitrary binary relation,,,,
"Fixed point results, generalized Ulam-Hyers stability and well-posedness via α-admissible mappings in b-metric spaces",,,,
Coincidence and common fixed points for hybrid strict contractions without the weakly commuting condition,,,,
Some fixed point results for multi-valued mappings in b-metric spaces,,,,
Tripled fixed point of W-compatible mappings in abstract metric spaces,,,,
Common fixed point theorems for generalized JH-operator classes and invariant approximations,,,,
"Fixed point results for generalized (α, ψ)-Meir-Keeler contractive mappings and applications",,,,
Coupled fixed-point theorems for contraction mapping induced by cone ball-metric in partially ordered spaces,,,,
Fixed-point theorems for multivalued mappings in modular metric spaces,,,,
PPF dependent fixed point theorems for an α c-admissible non-self mapping in the Razumikhin class,,,,
Discussion of coupled and tripled coincidence point theorems for φ-contractive mappings without the mixed g-monotone property,,,,
Coupled fixed point theorems in cone metric spaces with ac-distance and applications,,,,
Common coupled fixed point theorems for Geraghty-type contraction mappings using monotone property,,,,
New fixed point results for mappings of contractive type with an application to nonlinear fractional differential equations,,,,
Coupled coincidence point and common coupled fixed point theorems lacking the mixed monotone property,,,,
"Mizoguchi-Takahashi’s fixed point theorem with, functions",,,,
Tripled fixed point and tripled coincidence point theorems in intuitionistic fuzzy normed spaces,,,,
"Common coupled fixed point theorems for <svg aria-label=""w^*"" class=""gs_fsvg"" height=""12px"" style=""vertical-align:-1px;"" width=""19px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.70266)""><g><path d=""M 221 238  Q 221 281 232 337  T 258 436  T 305 570  T 342 668  Q 369 743 369 791  Q 369 852 324 852  Q 243 852 190 768  T 113 582  Q 109 569 96 569  H 72  Q 55 569 55 588  V 594  Q 88 716 156 810  T 328 905  Q 401 905 451 857  T 502 735  Q 502 697 485 655  Q 461 593 428 506  T 378 348  T 360 211  Q 360 131 402 81  T 524 31  Q 633 31 705 197  Q 702 209 702 231  Q 702 286 719 356  L 834 817  Q 841 844 866 863  T 920 883  Q 944 883 962 867  T 981 825  Q 981 813 979 809  L 864 352  Q 844 270 844 205  Q 844 128 879 79  T 991 31  Q 1123 31 1208 205  Q 1240 267 1279 388  T 1319 573  Q 1319 632 1300 666  T 1247 741  T 1214 801  Q 1214 840 1247 873  T 1321 907  Q 1370 907 1391 862  T 1413 760  Q 1413 691 1390 584  T 1332 370  T 1266 199  Q 1154 -23 987 -23  Q 901 -23 830 10  T 725 115  Q 692 56 638 16  T 520 -23  Q 385 -23 303 41  T 221 238  Z "" transform=""scale(0.48828, -0.48828)""></path><path d=""M 248 254  Q 222 254 201 276  T 180 324  Q 180 365 215 381  L 524 512  L 215 641  Q 180 657 180 698  Q 180 724 201 746  T 248 768  Q 265 768 279 758  L 563 569  L 532 887  L 530 891  Q 530 918 551 935  T 598 952  Q 625 952 645 935  T 666 891  V 887  L 633 569  L 918 758  Q 930 768 948 768  Q 976 768 996 746  T 1016 698  Q 1016 656 981 641  L 672 512  L 981 381  Q 1016 366 1016 324  Q 1016 298 996 276  T 948 254  Q 931 254 918 264  L 633 453  L 666 137  V 131  Q 666 104 645 87  T 598 70  Q 572 70 551 87  T 530 131  L 532 137  L 563 453  L 279 264  Q 265 254 248 254  Z "" transform=""matrix(0.34180, 0.00000, 0.00000, -0.34180, 715.94000, -362.89200)""></path></g></g></svg>-compatible mappings without mixed monotone property",,,,
Common fixed point theorems in fuzzy metric spaces using the CLRg property,,,,
Fixed point theorems for a generalized intuitionistic fuzzy contraction in intuitionistic fuzzy metric spaces,,,,
Common fixed point theorems of c-distance on cone metric spaces,,,,
Cyclic generalized contractions and fixed point results with applications to an integral equation,,,,
Best proximity points and extension of Mizoguchi-Takahashi’s fixed point theorems,,,,
"Some fixed point results for generalized contraction mappings with cyclic (α, β)-admissible mapping in multiplicative metric spaces",,,,
The existence of fixed point theorems for partial q-set-valued quasi-contractions in b-metric spaces and related results,,,,
Fuzzy fixed point theorems in Hausdorff fuzzy metric spaces,,,,
Coupled coincidence and coupled common fixed point theorems in partially ordered metric spaces,,,,
F-closed sets and coupled fixed point theorems without the mixed monotone property,,,,
"Generalized Ulam-Hyers stability, well-posedness, and limit shadowing of fixed point problems for α-β-contraction mapping in metric spaces",,,,
Common fixed points of f-weak contractions in cone metric spaces,,,,
On a new iteration scheme for numerical reckoning fixed points of Berinde mappings with convergence analysis,,,,
Common tripled fixed point theorems for W-compatible mappings along with the CLR g property in abstract metric spaces,,,,
"APPROXIMATE FIXED POINT THEOREMS FOR PARTIAL GENERALIZED CONVEX CONTRACTION MAPPINGS IN <svg aria-label=""\alpha"" class=""gs_fsvg"" height=""8px"" style=""vertical-align:-1px;"" width=""11px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 7.51400)""><path d=""M 412 -23  Q 315 -23 239 23  T 123 147  T 82 324  Q 82 463 159 599  T 365 820  T 635 905  Q 739 905 818 850  T 938 705  T 979 512  L 981 375  Q 1051 472 1099 576  T 1174 793  Q 1178 805 1190 805  H 1214  Q 1233 805 1233 786  Q 1233 784 1231 780  Q 1207 686 1171 599  T 1086 432  T 981 285  Q 981 31 1040 31  Q 1078 31 1102 53  T 1145 109  T 1169 143  H 1194  Q 1210 143 1210 123  Q 1210 72 1151 24  T 1036 -23  Q 962 -23 913 25  T 846 150  Q 750 68 638 22  T 412 -23  Z M 416 31  Q 635 31 836 211  Q 835 223 833 240  T 831 260  V 481  Q 831 852 631 852  Q 511 852 421 749  T 285 504  T 240 244  Q 240 155 285 93  T 416 31  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>-COMPLETE METRIC SPACES",,,,
Fixed point theorems for generalized α-β-weakly contraction mappings in metric spaces and applications,,,,
Tripled best proximity point theorem in metric spaces,,,,
The existence of fixed point theorems via-distance and-admissible mappings and applications,,,,
Best proximity points for multiplicative proximal contraction mapping on multiplicative metric spaces,,,,
"Common α-fuzzy fixed point theorems for fuzzy mappings via <svg aria-label=""\beta_\mathcal{F}"" class=""gs_fsvg"" height=""15px"" style=""vertical-align:-4px;"" width=""21px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.98500)""><g><path d=""M 55 -397  Q 49 -397 44 -390  T 39 -377  L 354 889  Q 381 991 433 1087  T 563 1265  T 736 1396  T 936 1444  Q 1012 1444 1073 1410  T 1170 1316  T 1206 1180  Q 1206 1107 1178 1040  T 1100 916  T 993 823  Q 1026 802 1052 769  T 1094 701  T 1119 622  T 1128 541  Q 1128 436 1083 334  T 960 149  T 783 17  T 578 -31  Q 463 -31 371 32  T 244 203  L 96 -385  Q 96 -397 80 -397  H 55  Z M 582 25  Q 674 25 748 85  T 871 237  T 945 431  T 971 618  Q 971 722 911 782  Q 841 756 774 756  Q 612 756 612 811  Q 612 883 797 883  Q 863 883 918 862  Q 962 896 998 962  T 1052 1100  T 1071 1235  Q 1071 1302 1035 1346  T 932 1391  Q 807 1391 699 1314  T 518 1119  T 412 877  L 299 424  Q 288 377 285 319  Q 285 191 369 108  T 582 25  Z M 674 817  Q 705 809 776 809  Q 811 809 846 821  Q 844 823 838 823  Q 816 829 791 829  Q 698 829 674 817  Z "" transform=""scale(0.48828, -0.48828)""></path><g transform=""translate(565.60999, 150.00000)""><g><path d=""M 68 88  V 98  Q 84 141 140 174  T 244 207  Q 258 207 266 186  Q 298 126 358 96  T 489 66  Q 522 99 581 212  T 689 437  T 778 647  Q 836 800 877 956  T 944 1266  H 848  Q 712 1266 637 1204  Q 608 1176 598 1159  T 581 1117  T 559 1071  Q 530 1032 485 1006  T 393 981  Q 389 981 381 986  T 373 995  V 1008  Q 397 1096 461 1167  T 615 1291  T 803 1371  T 993 1399  H 1655  Q 1880 1399 1880 1325  V 1313  Q 1880 1284 1848 1256  T 1771 1210  T 1702 1192  Q 1699 1192 1690 1197  T 1681 1206  V 1219  Q 1682 1221 1682 1223  T 1683 1227  Q 1679 1242 1669 1247  Q 1647 1258 1602 1262  T 1491 1266  H 1126  Q 1080 1018 981 745  H 1550  Q 1567 736 1567 731  V 721  Q 1554 667 1497 628  T 1384 590  Q 1380 590 1378 591  T 1372 596  Q 1370 597 1369 604  T 1364 612  H 928  Q 900 543 866 469  T 791 318  T 715 178  Q 677 110 614 53  T 478 -36  T 326 -68  Q 242 -68 173 -27  T 68 88  Z "" transform=""scale(0.34180, -0.34180)""></path></g></g></g></g></svg>-admissible pair",,,,
The existence theorems of an optimal approximate solution for generalized proximal contraction mappings,,,,
"Fixed point theorems for (α, β)-(ψ, ϕ)-contractive mappings in b-metric spaces with some numerical results and applications",,,,
Some coupled common fixed points for a pair of mappings in partially ordered G-metric spaces,,,,
Common Fixed Point Theorems in Fuzzy Metric Spaces Satisfying-Contractive Condition with Common Limit Range Property,,,,
